source,target,value
0,131,1606.0
2,0,1728.0
5,145,1811.0
6,114,2286.0
7,101,1827.0
7,176,5704.0
10,69,3004.0
10,70,1609.0
13,177,1803.0
15,121,1892.0
17,90,2327.0
19,151,1638.0
20,69,3208.0
20,70,1777.0
21,15,3001.0
21,167,1529.0
23,169,3004.0
25,57,1620.0
25,71,1591.0
25,86,2470.0
25,92,2110.0
27,122,10012.0
28,59,1786.0
30,69,2496.0
30,70,1932.0
31,72,2690.0
31,150,2268.0
34,106,7414.0
34,113,1970.0
36,109,6112.0
38,96,2139.0
39,75,2452.0
40,67,3084.0
40,127,1957.0
42,16,1531.0
44,24,1682.0
44,111,2302.0
44,156,1526.0
45,33,2816.0
47,58,1876.0
48,113,1599.0
50,144,4698.0
51,73,1566.0
55,73,1569.0
55,133,2126.0
58,37,1788.0
58,91,1585.0
58,99,1671.0
58,108,1699.0
58,129,1750.0
58,130,2335.0
58,147,2012.0
58,161,1856.0
60,85,6937.0
62,14,3479.0
62,18,3193.0
63,79,2228.0
63,104,2841.0
63,128,3114.0
65,69,1581.0
66,147,3816.0
67,26,1693.0
67,133,1844.0
67,151,2484.0
68,117,1889.0
69,66,4025.0
69,77,2380.0
70,151,2290.0
74,17,1844.0
75,34,6908.0
75,67,2064.0
75,83,1596.0
75,106,1554.0
75,127,1525.0
75,133,1899.0
75,151,1659.0
76,44,3279.0
77,8,1546.0
77,58,1942.0
77,106,2854.0
77,156,1873.0
78,11,2259.0
80,58,3755.0
81,92,1955.0
81,94,1721.0
83,75,1571.0
84,146,1857.0
89,110,2850.0
92,19,1572.0
92,69,2467.0
92,70,1940.0
98,144,1581.0
99,28,10968.0
99,54,2308.0
99,74,1826.0
99,125,9488.0
99,165,1520.0
100,85,4057.0
101,53,1605.0
101,143,2249.0
101,160,1614.0
101,164,1542.0
102,19,1557.0
102,44,2002.0
102,58,1755.0
102,110,1510.0
103,133,1878.0
105,144,2436.0
105,163,1570.0
106,75,9154.0
106,113,2551.0
106,162,4128.0
107,154,3559.0
109,133,1593.0
111,133,2098.0
112,15,3259.0
112,24,1566.0
112,69,2664.0
113,75,1543.0
113,151,3740.0
115,58,1640.0
115,110,3269.0
115,116,2276.0
117,41,2454.0
118,123,1501.0
119,8,2745.0
120,73,1700.0
120,82,2193.0
120,132,1711.0
122,1,1595.0
122,3,1629.0
124,12,3059.0
124,93,2676.0
124,166,4364.0
127,40,3008.0
127,113,1661.0
131,4,1514.0
131,17,1858.0
131,58,1507.0
131,62,1681.0
131,119,1940.0
133,75,2048.0
133,127,1637.0
134,88,2811.0
138,64,2697.0
139,126,1804.0
140,81,2062.0
141,19,1640.0
142,97,1777.0
142,136,1772.0
148,15,2302.0
149,32,2488.0
151,75,2782.0
151,106,1523.0
152,173,1765.0
153,19,1509.0
153,69,1932.0
153,70,1558.0
155,87,3812.0
155,102,10719.0
156,22,2189.0
156,29,1910.0
156,43,1920.0
156,49,5903.0
156,52,1729.0
156,118,2644.0
156,137,1745.0
159,44,2670.0
161,55,3241.0
161,135,1782.0
161,157,3424.0
162,77,19967.0
164,58,1528.0
168,85,2117.0
170,161,1885.0
171,95,2091.0
171,121,2447.0
171,158,5016.0
172,73,2109.0
174,9,4333.0
174,35,1920.0
175,46,1664.0
175,85,7233.0
175,157,6057.0
176,1,1524.0
176,53,1781.0
176,56,3122.0
176,61,1871.0
176,160,3110.0
176,164,4268.0
178,109,1852.0
