name,group,value
1,7,3334.0
10,10,3119.0
5,0,1728.0
50,13,1629.0
About,7,1514.0
After,7,1811.0
Again,10,2286.0
Ago,0,7531.0
All,4,4291.0
Along,13,4333.0
Already,11,4613.0
An,6,2259.0
Andhra,17,3059.0
Another,10,1803.0
Apart,4,3479.0
Are,6,10454.0
Assembly,15,1531.0
At,6,6029.0
Away,1,3193.0
Be,15,7916.0
Become,7,4985.0
Being,7,4530.0
Believe,2,2189.0
Bengal,14,3004.0
But,9,3248.0
By,8,7791.0
C,15,1693.0
Cent,15,10012.0
Chief,5,12754.0
Clear,5,1910.0
Come,8,4428.0
Court,2,4958.0
Cover,5,2488.0
Current,17,2816.0
D,1,16292.0
Deal,1,1920.0
Delhi,3,6112.0
Demand,7,1788.0
Director,2,2139.0
Don,18,2452.0
E,0,8049.0
Each,4,2454.0
Elections,18,1531.0
Ensure,10,1920.0
Even,4,13461.0
Events,13,2816.0
Every,1,1664.0
Example,5,1876.0
F,3,1599.0
Fact,2,5903.0
Far,3,4698.0
Father,3,1566.0
Feel,18,1729.0
Few,12,3386.0
Finance,12,2308.0
First,8,6936.0
Five,2,3122.0
Followed,6,1620.0
For,7,28699.0
Former,6,1786.0
Fortnight,0,6937.0
Four,4,1871.0
From,7,8353.0
Gandhi,18,8183.0
General,14,2697.0
Gone,0,1581.0
Government,16,7841.0
H,16,11169.0
Hand,3,1889.0
Has,0,23757.0
Have,16,11106.0
Headed,8,1591.0
High,0,2690.0
His,1,6944.0
Home,5,3670.0
I,5,36755.0
If,14,3279.0
India,3,30562.0
Indian,5,2259.0
Indira,1,2228.0
Instance,2,3755.0
It,1,5738.0
Janata,1,2193.0
L,9,3167.0
Lanka,0,1857.0
Last,14,20344.0
Led,17,2470.0
Less,16,3812.0
Lok,16,2811.0
Longer,2,2850.0
Look,11,2327.0
Looking,8,1585.0
Made,18,10044.0
Madhya,18,2676.0
Make,8,1721.0
Man,15,2091.0
Managing,10,2139.0
Manmohan,17,1777.0
Many,10,1581.0
Minister,0,27781.0
Month,14,4057.0
Months,1,8837.0
More,5,17543.0
Most,17,1878.0
Mrs,3,2841.0
Much,4,4006.0
N,11,29178.0
Nadu,15,3559.0
Need,15,1699.0
New,18,9557.0
No,2,7629.0
Not,10,4400.0
Now,16,7489.0
O,8,13064.0
Once,17,2286.0
One,10,7185.0
Only,7,2276.0
Other,3,4343.0
Out,6,4145.0
Over,2,4685.0
Party,11,5604.0
People,5,4339.0
Per,0,13236.0
Pointed,7,1501.0
Pradesh,5,10099.0
Prime,10,9488.0
Public,18,1804.0
R,3,9788.0
Rajiv,2,3114.0
Reason,0,1750.0
Responsible,10,2335.0
Rs,14,10106.0
Ruling,13,1711.0
S,12,15123.0
Sabha,13,2811.0
Same,5,1782.0
Saurabh,9,1772.0
Saying,6,1745.0
Secretary,1,2697.0
Sector,14,1804.0
Seems,14,2062.0
Seen,8,1640.0
Singh,15,3549.0
Six,3,2249.0
So,16,8715.0
Soon,15,1811.0
Sri,11,1857.0
State,4,5828.0
Still,3,2302.0
Story,7,2488.0
Supreme,17,2268.0
T,5,16116.0
Take,7,1765.0
Taken,11,4999.0
Tamil,5,3559.0
Than,17,14531.0
That,14,21439.0
This,6,9481.0
Those,16,5016.0
Though,16,2670.0
Three,18,4724.0
Time,3,12188.0
Today,18,24095.0
Too,15,1570.0
Two,6,7338.0
Union,3,1520.0
Uttar,13,4364.0
Was,14,1529.0
Week,4,2117.0
West,11,3004.0
When,3,1885.0
Who,15,9554.0
Wife,5,2109.0
Will,7,1765.0
With,17,6253.0
Year,12,14954.0
Years,7,21380.0
Yet,0,1803.0
York,6,1852.0
